,Coin,Cur. Rank,Close,Date,High,Low,Market Cap,Open,Volume
2,litecoin,5,154.07,"Mar 18, 2018",156.15,138.02,"8,492,470,000",152.54,"595,955,000"
3,litecoin,5,152.97,"Mar 17, 2018",165.22,151.06,"9,194,360,000",165.19,"403,809,000"
4,litecoin,5,165.45,"Mar 16, 2018",171.26,158.99,"9,171,160,000",164.82,"436,628,000"
5,litecoin,5,164.48,"Mar 15, 2018",167.33,151.48,"8,967,720,000",161.20,"564,609,000"
6,litecoin,5,161.10,"Mar 14, 2018",177.55,158.63,"9,785,030,000",175.94,"480,653,000"
7,litecoin,5,175.78,"Mar 13, 2018",181.87,172.26,"9,874,530,000",177.60,"468,094,000"
8,litecoin,5,178.23,"Mar 12, 2018",193.34,175.88,"10,506,700,000",189.02,"567,629,000"
9,litecoin,5,188.95,"Mar 11, 2018",193.48,172.47,"9,864,710,000",177.51,"669,378,000"
10,litecoin,5,177.73,"Mar 10, 2018",194.65,176.54,"10,451,000,000",188.11,"625,808,000"
0,eos,6,6.01,"Mar 20, 2018",6.40,5.45,"4,553,120,000",6.17,"667,072,000"
1,eos,6,6.36,"Mar 19, 2018",6.36,4.57,"3,468,420,000",4.71,"660,669,000"
2,eos,6,4.65,"Mar 18, 2018",4.68,3.95,"3,417,960,000",4.65,"333,501,000"
3,eos,6,4.67,"Mar 17, 2018",5.11,4.61,"3,725,280,000",5.09,"140,080,000"
4,eos,6,5.09,"Mar 16, 2018",5.32,4.95,"3,785,350,000",5.18,"184,719,000"
5,eos,6,5.17,"Mar 15, 2018",5.38,4.87,"3,899,390,000",5.35,"293,299,000"
6,eos,6,5.34,"Mar 14, 2018",5.97,5.25,"4,266,070,000",5.87,"210,733,000"
7,eos,6,5.86,"Mar 13, 2018",5.98,5.66,"4,213,560,000",5.82,"199,199,000"
8,eos,6,5.83,"Mar 12, 2018",6.23,5.72,"4,441,010,000",6.15,"206,551,000"
9,eos,6,6.14,"Mar 11, 2018",6.24,5.61,"4,165,570,000",5.79,"271,829,000"
10,eos,6,5.80,"Mar 10, 2018",6.50,5.80,"4,434,700,000",6.17,"309,653,000"
0,stellar,7,0.267968,"Mar 20, 2018",0.282082,0.235574,"4,624,530,000",0.249992,"88,101,600"
1,stellar,7,0.250226,"Mar 19, 2018",0.250226,0.212955,"4,113,520,000",0.222368,"93,820,800"
2,stellar,7,0.220473,"Mar 18, 2018",0.222828,0.158913,"3,818,300,000",0.206409,"91,400,500"
3,stellar,7,0.206731,"Mar 17, 2018",0.234321,0.200989,"4,259,820,000",0.230277,"33,001,800"
4,stellar,7,0.229991,"Mar 16, 2018",0.241545,0.227545,"4,457,950,000",0.240988,"23,756,700"
5,stellar,7,0.240655,"Mar 15, 2018",0.250575,0.217064,"4,603,470,000",0.248854,"54,358,800"
6,stellar,7,0.248689,"Mar 14, 2018",0.297763,0.240711,"5,398,850,000",0.291850,"49,138,300"
7,stellar,7,0.290193,"Mar 13, 2018",0.301183,0.282290,"5,367,350,000",0.290151,"24,814,700"
8,stellar,7,0.291765,"Mar 12, 2018",0.312193,0.286332,"5,629,090,000",0.304301,"29,443,200"
9,stellar,7,0.304217,"Mar 11, 2018",0.306688,0.280042,"5,399,090,000",0.291868,"26,023,900"
10,stellar,7,0.292661,"Mar 10, 2018",0.320392,0.290070,"5,838,430,000",0.315618,"21,963,200"
0,cardano,8,0.204947,"Mar 20, 2018",0.212004,0.180294,"5,015,520,000",0.193447,"249,683,000"
1,cardano,8,0.197648,"Mar 19, 2018",0.197648,0.156935,"4,167,750,000",0.160749,"321,964,000"
2,cardano,8,0.156155,"Mar 18, 2018",0.161959,0.127046,"3,990,970,000",0.153931,"189,689,000"
3,cardano,8,0.154763,"Mar 17, 2018",0.179160,0.153132,"4,634,990,000",0.178770,"81,096,600"
4,cardano,8,0.178878,"Mar 16, 2018",0.186788,0.175057,"4,842,870,000",0.186788,"97,455,300"
5,cardano,8,0.185709,"Mar 15, 2018",0.201611,0.172485,"5,153,130,000",0.198755,"204,233,000"
6,cardano,8,0.199562,"Mar 14, 2018",0.233147,0.196005,"5,792,890,000",0.223430,"144,156,000"
7,cardano,8,0.223026,"Mar 13, 2018",0.229146,0.215402,"5,784,580,000",0.223110,"98,868,700"
8,cardano,8,0.223722,"Mar 12, 2018",0.237342,0.219654,"5,810,350,000",0.224104,"184,250,000"
9,cardano,8,0.223498,"Mar 11, 2018",0.227322,0.198153,"5,437,450,000",0.209721,"161,362,000"
10,cardano,8,0.209873,"Mar 10, 2018",0.226558,0.208859,"5,839,200,000",0.225216,"129,138,000"
0,neo,9,76.03,"Mar 20, 2018",79.56,67.59,"4,800,040,000",73.85,"255,944,000"
1,neo,9,73.44,"Mar 19, 2018",73.44,62.74,"4,367,610,000",67.19,"274,503,000"
2,neo,9,65.50,"Mar 18, 2018",66.70,49.39,"3,976,490,000",61.18,"249,146,000"
3,neo,9,61.53,"Mar 17, 2018",69.11,61.02,"4,439,520,000",68.30,"95,221,700"
4,neo,9,68.25,"Mar 16, 2018",71.49,65.91,"4,527,870,000",69.66,"114,395,000"
5,neo,9,69.57,"Mar 15, 2018",72.95,65.49,"4,669,040,000",71.83,"173,336,000"
6,neo,9,71.67,"Mar 14, 2018",85.03,69.10,"5,422,360,000",83.42,"146,277,000"
7,neo,9,83.38,"Mar 13, 2018",88.39,82.19,"5,562,220,000",85.57,"118,017,000"
8,neo,9,85.91,"Mar 12, 2018",92.98,84.26,"5,947,140,000",91.49,"125,997,000"
9,neo,9,91.19,"Mar 11, 2018",92.49,82.31,"5,553,470,000",85.44,"120,665,000"
10,neo,9,85.58,"Mar 10, 2018",94.43,85.52,"6,065,720,000",93.32,"123,154,000"
0,iota,10,1.44,"Mar 20, 2018",1.52,1.30,"3,697,640,000",1.33,"67,039,500"
1,iota,10,1.33,"Mar 19, 2018",1.34,1.19,"3,437,690,000",1.24,"55,966,600"
2,iota,10,1.23,"Mar 18, 2018",1.29,1.06,"3,168,980,000",1.14,"111,700,000"
3,iota,10,1.14,"Mar 17, 2018",1.15,1.07,"3,066,750,000",1.10,"38,853,100"
4,iota,10,1.10,"Mar 16, 2018",1.15,1.03,"3,061,520,000",1.10,"29,977,700"
5,iota,10,1.09,"Mar 15, 2018",1.14,1.04,"3,119,630,000",1.12,"43,235,400"
6,iota,10,1.12,"Mar 14, 2018",1.37,1.11,"3,640,500,000",1.31,"45,727,000"
7,iota,10,1.31,"Mar 13, 2018",1.35,1.29,"3,712,760,000",1.34,"22,675,600"
8,iota,10,1.34,"Mar 12, 2018",1.42,1.28,"3,863,920,000",1.39,"27,739,400"
9,iota,10,1.39,"Mar 11, 2018",1.43,1.28,"3,629,610,000",1.31,"31,315,700"
10,iota,10,1.31,"Mar 10, 2018",1.47,1.29,"3,892,330,000",1.40,"31,847,500"
0,monero,11,223.74,"Mar 20, 2018",233.27,206.96,"3,452,770,000",217.94,"60,005,900"
1,monero,11,216.77,"Mar 19, 2018",222.00,202.38,"3,331,520,000",210.33,"67,314,400"
2,monero,11,209.63,"Mar 18, 2018",209.63,175.08,"3,126,390,000",197.43,"75,859,900"
3,monero,11,197.91,"Mar 17, 2018",215.84,193.90,"3,411,600,000",215.49,"48,877,500"
4,monero,11,215.70,"Mar 16, 2018",222.38,203.91,"3,374,770,000",213.21,"62,972,500"
5,monero,11,213.31,"Mar 15, 2018",225.96,198.73,"3,415,550,000",215.84,"75,798,000"
6,monero,11,215.56,"Mar 14, 2018",251.83,208.29,"3,928,670,000",248.31,"75,383,300"
7,monero,11,248.07,"Mar 13, 2018",266.35,246.19,"4,084,440,000",258.22,"69,264,500"
8,monero,11,259.42,"Mar 12, 2018",287.09,251.83,"4,466,340,000",282.43,"66,680,300"
9,monero,11,282.35,"Mar 11, 2018",287.17,248.41,"4,058,010,000",256.67,"73,755,400"
10,monero,11,257.04,"Mar 10, 2018",295.79,255.81,"4,595,400,000",290.72,"78,431,700"
0,dash,12,428.88,"Mar 20, 2018",442.05,399.17,"3,281,830,000",412.49,"109,677,000"
1,dash,12,409.32,"Mar 19, 2018",409.32,368.52,"3,120,600,000",392.32,"113,994,000"
2,dash,12,394.15,"Mar 18, 2018",394.15,342.51,"3,086,950,000",388.19,"117,296,000"
3,dash,12,387.28,"Mar 17, 2018",427.39,383.16,"3,389,250,000",426.30,"95,970,500"
4,dash,12,425.52,"Mar 16, 2018",432.67,402.88,"3,326,680,000",418.54,"97,572,200"
5,dash,12,418.24,"Mar 15, 2018",431.43,393.74,"3,384,790,000",425.95,"93,514,000"
6,dash,12,426.25,"Mar 14, 2018",493.49,419.03,"3,871,810,000",487.36,"96,938,400"
7,dash,12,487.37,"Mar 13, 2018",514.01,479.87,"3,965,160,000",499.24,"83,317,100"
8,dash,12,501.30,"Mar 12, 2018",549.33,486.33,"4,217,570,000",531.15,"85,381,400"
9,dash,12,531.80,"Mar 11, 2018",548.40,469.99,"3,839,100,000",483.60,"100,122,000"
10,dash,12,484.35,"Mar 10, 2018",528.35,479.01,"3,963,220,000",499.36,"91,266,100"
0,tron,13,0.038113,"Mar 20, 2018",0.040354,0.031429,"2,151,820,000",0.032728,"250,397,000"
1,tron,13,0.032364,"Mar 19, 2018",0.032995,0.028221,"1,904,740,000",0.028970,"183,591,000"
2,tron,13,0.028621,"Mar 18, 2018",0.029387,0.023117,"1,859,720,000",0.028286,"127,381,000"
3,tron,13,0.028358,"Mar 17, 2018",0.030309,0.028002,"1,983,220,000",0.030164,"116,472,000"
4,tron,13,0.030119,"Mar 16, 2018",0.031245,0.028954,"1,975,650,000",0.030049,"149,356,000"
5,tron,13,0.030119,"Mar 15, 2018",0.031190,0.028357,"2,041,290,000",0.031047,"169,547,000"
6,tron,13,0.031057,"Mar 14, 2018",0.036323,0.030237,"2,347,250,000",0.035701,"197,406,000"
7,tron,13,0.035726,"Mar 13, 2018",0.037122,0.034525,"2,364,860,000",0.035968,"200,526,000"
8,tron,13,0.036132,"Mar 12, 2018",0.039508,0.034644,"2,535,330,000",0.038561,"228,565,000"
9,tron,13,0.038716,"Mar 11, 2018",0.039321,0.033492,"2,284,820,000",0.034751,"266,342,000"
10,tron,13,0.034928,"Mar 10, 2018",0.038182,0.034484,"2,428,790,000",0.036941,"253,447,000"
0,tether,14,0.996832,"Mar 20, 2018",1.01,0.989570,"2,230,490,000",1.01,"2,506,320,000"
1,tether,14,0.989867,"Mar 19, 2018",1.02,0.982194,"2,177,660,000",0.982194,"2,638,090,000"
2,tether,14,1.00,"Mar 18, 2018",1.01,0.979781,"2,228,610,000",1.01,"2,639,470,000"
3,tether,14,1.00,"Mar 17, 2018",1.01,0.990731,"2,220,590,000",1.00,"1,687,920,000"
4,tether,14,0.998551,"Mar 16, 2018",1.01,0.989567,"2,211,620,000",0.997509,"1,872,050,000"
5,tether,14,1.00,"Mar 15, 2018",1.01,0.984939,"2,218,620,000",1.00,"2,259,870,000"
6,tether,14,1.00,"Mar 14, 2018",1.02,0.991337,"2,209,560,000",0.996581,"2,151,670,000"
7,tether,14,0.999843,"Mar 13, 2018",1.01,0.987195,"2,221,210,000",1.00,"1,890,040,000"
8,tether,14,1.00,"Mar 12, 2018",1.01,0.988530,"2,217,540,000",1.00,"2,155,560,000"
9,tether,14,1.00,"Mar 11, 2018",1.01,0.994709,"2,224,830,000",1.00,"2,394,810,000"
10,tether,14,1.01,"Mar 10, 2018",1.01,0.994936,"2,211,840,000",0.997607,"2,218,810,000"
0,nem,15,0.310745,"Mar 20, 2018",0.344168,0.278131,"2,653,510,000",0.294834,"323,806,000"
1,nem,15,0.301993,"Mar 19, 2018",0.314138,0.275261,"2,585,120,000",0.287236,"120,826,000"
